BSM_Operator,DeepResidualGCN_AUC,GraphTransformer_AUC
cbbim,0.5888537156889252,0.6067806877920809
cbgim,0.583721996502069,0.579490276561651
cbhim,0.5199578691086887,0.5230495050496954
chbtil,0.613099566035338,0.606054671630628
chgtil,0.5087523625948118,0.5132692102455204
ctbim,0.5011149037966065,0.4941371909421093
