epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time
1,0.6938160732364324,0.5041483198146002,0.6930501245199125,0.5116807268007787,2.683771848678589,2.683771848678589
2,0.6935022506680715,0.5001158748551564,0.6931143853665945,0.4938351719662557,1.9393188953399658,4.623534917831421
3,0.693370806192882,0.4986326767091541,0.6932180152552071,0.49675535366645035,2.1445841789245605,6.768121004104614
4,0.6931288311213497,0.5078099652375434,0.6932998574994587,0.5081116158338741,2.744088888168335,9.512211799621582
5,0.693494008747755,0.49705677867902665,0.6932070159741921,0.500324464633355,2.592949151992798,12.105167150497437
6,0.6932240595961224,0.4986326767091541,0.6932887937788991,0.4944841012329656,3.366746664047241,15.471920728683472
7,0.6932795965243325,0.5010428736964079,0.6929883585202082,0.5074626865671642,2.063002824783325,17.53492784500122
8,0.6931648878095324,0.49969872537659327,0.6930767602536835,0.5061648280337443,2.5522170066833496,20.0871479511261
9,0.6932698404830411,0.5039165701042874,0.6930000312060679,0.5068137573004543,1.9815571308135986,22.06870985031128
10,0.6932008517410084,0.49997682502896873,0.6930400611594619,0.5068137573004543,1.9931511878967285,24.06186294555664
11,0.6931637068944071,0.5023406720741599,0.6931062267245912,0.4964308890330954,1.837967872619629,25.9002947807312
12,0.6931531881070496,0.4974739281575898,0.693131045116224,0.5,1.8485910892486572,27.74888801574707
13,0.6931680054736441,0.4984936268829664,0.6930371455601637,0.4990266060999351,1.8994121551513672,29.648303031921387
14,0.693133754616955,0.5008111239860951,0.6930610306614177,0.500324464633355,2.0289320945739746,31.67723798751831
15,0.6931458566169474,0.5026651216685979,0.6931177540540231,0.4980532121998702,1.9550690650939941,33.63230895996094
16,0.692991621016351,0.5041483198146002,0.6933558275759955,0.5019467878001298,1.9221110343933105,35.554420948028564
17,0.6931991576844544,0.5020625724217844,0.6932753561225361,0.5032446463335496,1.9469571113586426,37.50137996673584
18,0.692942645331523,0.5034067207415991,0.6927768462358707,0.49870214146658015,2.317190170288086,39.81857204437256
19,0.6929659643261623,0.5039629200463499,0.6933432014478947,0.500324464633355,1.9471280574798584,41.76570105552673
20,0.6931490395574691,0.507856315179606,0.6930105929866694,0.4990266060999351,2.0928151607513428,43.85851693153381
21,0.6928023533776904,0.5044264194669756,0.6931143408468371,0.4974042829331603,2.1223092079162598,45.98131203651428
22,0.6930621510529987,0.5035457705677868,0.692906765253957,0.490914990266061,3.0087947845458984,48.99011182785034
23,0.6928483594002619,0.5107763615295481,0.6929200228586513,0.49967553536664505,2.147653102874756,51.1377739906311
24,0.6927574004856212,0.5022943221320973,0.6932796041815409,0.5,1.9072191715240479,53.044995069503784
25,0.6929211396635062,0.5070220162224798,0.6930009822501988,0.4990266060999351,1.8397130966186523,54.88471293449402
26,0.6928566539411888,0.5135573580533024,0.6929930632645089,0.500324464633355,2.611809015274048,57.4965238571167
27,0.6927922576244571,0.5066512166859791,0.69289196171906,0.49870214146658015,2.0906193256378174,59.58715009689331
28,0.6929427026210488,0.5069293163383546,0.6928255707702414,0.5025957170668397,2.188305139541626,61.77545690536499
29,0.6927218133024655,0.5060486674391657,0.692846325989438,0.5012978585334199,2.013545036315918,63.789007902145386
30,0.6926547504659324,0.5053070683661646,0.6929461714665972,0.4944841012329656,2.1331701278686523,65.92217993736267
31,0.692736945461702,0.5066048667439166,0.6929379187954625,0.4974042829331603,1.9180421829223633,67.8407940864563
32,0.6925196199041391,0.5060950173812283,0.6930317057950554,0.49935107073329005,1.8421411514282227,69.68293809890747
33,0.692651350956803,0.5063267670915411,0.6929783211521789,0.49610642439974045,1.8288052082061768,71.51174402236938
