operator,feature,importance
chbtil,SubLeadPhoton_Phi,0.0007980356046654258
chbtil,SubLeadPhoton_pT,0.00908532842234495
chbtil,cosThetaStar,0.0022917945569878697
chbtil,costheta1,0.0015142214037241475
chbtil,costheta2,0.001309596889707354
chbtil,m_bbyy,0.0011254348270922643
chbtil,pT_jj,0.01418047882136273
chbtil,signed_DeltaPhi_jj,0.0011049723756905382
chgtil,DPhi_bb,0.001698383466339304
chgtil,DPhi_yybb,0.0001227747084100672
chgtil,Eta_jj,0.004604051565377553
chgtil,Eta_yybb,0.011315735625127887
chgtil,Higgs_Eta,0.004112952731737285
chgtil,Higgs_Mass,0.20055248618784532
chgtil,Higgs_Phi,0.0015346838551258512
chgtil,Higgs_pT,0.019173316963372232
chgtil,LeadJet_Eta,0.005279312461632912
chgtil,LeadJet_M,0.0024964190710047517
chgtil,LeadJet_Phi,0.0010435850214855825
chgtil,LeadJet_pT,0.007141395539185624
chgtil,LeadPhoton_Eta,0.003355842029875178
chgtil,LeadPhoton_Phi,0.0033558420298752225
chgtil,LeadPhoton_pT,0.00300798035604668
chgtil,M_jj,0.0356046654389196
chgtil,Phi1,0.001289134438305739
chgtil,Phi_jj,0.0015960712093308737
chgtil,SubLeadJet_Eta,0.0060978105177000195
chgtil,SubLeadJet_M,0.0011049723756906271
chgtil,SubLeadJet_Phi,0.0012482095355023759
chgtil,SubLeadJet_pT,0.003662778800900357
chgtil,SubLeadPhoton_Eta,0.004092490280335581
chgtil,SubLeadPhoton_Phi,0.0009617352158788784
chgtil,SubLeadPhoton_pT,0.00777573153263762
chgtil,cosThetaStar,0.005340699815837957
chgtil,costheta1,0.0033558420298752
chgtil,costheta2,0.0011049723756906271
chgtil,m_bbyy,0.005709023941068136
chgtil,pT_jj,0.008369142623286297
chgtil,signed_DeltaPhi_jj,0.0005934110906486989
ctbim,DPhi_bb,0.008717518860016727
ctbim,DPhi_yybb,0.011791003073484175
ctbim,Eta_jj,0.005699916177703224
ctbim,Eta_yybb,0.006594020676166501
ctbim,Higgs_Eta,0.004945515507124876
ctbim,Higgs_Mass,0.004386700195585314
ctbim,Higgs_Phi,0.006817546800782326
ctbim,Higgs_pT,0.007935177423861383
ctbim,LeadJet_Eta,0.007739592064822531
ctbim,LeadJet_M,0.006566079910589528
ctbim,LeadJet_Phi,0.007627829002514641
ctbim,LeadJet_pT,0.005616093880972306
ctbim,LeadPhoton_Eta,0.01047778709136631
ctbim,LeadPhoton_Phi,0.008018999720592324
ctbim,LeadPhoton_pT,0.010813076278290002
ctbim,M_jj,0.005699916177703224
ctbim,Phi1,0.007599888236937668
ctbim,Phi_jj,0.010673372450405139
ctbim,SubLeadJet_Eta,0.00902486728136349
ctbim,SubLeadJet_M,0.005755797708857213
ctbim,SubLeadJet_Phi,0.005504330818664393
ctbim,SubLeadJet_pT,0.004917574741547903
ctbim,SubLeadPhoton_Eta,0.011232187761944656
ctbim,SubLeadPhoton_Phi,0.007264599050013953
ctbim,SubLeadPhoton_pT,0.009527801061749086
ctbim,cosThetaStar,0.006957250628667167
ctbim,costheta1,0.008605755797708836
ctbim,costheta2,0.011204246996367684
ctbim,m_bbyy,0.004889633975970908
ctbim,pT_jj,0.007069013690975101
ctbim,signed_DeltaPhi_jj,0.010589550153674177
