epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time
1,0.6935273328109246,0.5015063731170336,0.693554446613688,0.4944841012329656,1.1730611324310303,1.1730623245239258
2,0.6932828270076739,0.5039629200463499,0.6933742486216046,0.4944841012329656,1.1468112468719482,2.3199522495269775
3,0.6934052876691277,0.5003012746234067,0.6937252865605041,0.4944841012329656,1.1560149192810059,3.475969076156616
4,0.6931342184806063,0.5077172653534183,0.6934229903295395,0.4944841012329656,1.3149089813232422,4.790881156921387
5,0.6932532292141699,0.5029432213209734,0.6933124507115616,0.49480856586632055,1.2399661540985107,6.03084921836853
6,0.6932548960805077,0.4982618771726535,0.6935615638956322,0.4944841012329656,1.241429090499878,7.272281169891357
7,0.6931810296396805,0.5052607184241019,0.6932243198871922,0.48312783906554185,1.329482078552246,8.601767301559448
8,0.6933500501592907,0.5035921205098494,0.6933021365938675,0.4944841012329656,1.2058079242706299,9.807576179504395
9,0.6932486264177987,0.4994669756662804,0.693363181961426,0.4944841012329656,1.158569097518921,10.966147184371948
10,0.6931930230611445,0.5035457705677868,0.6931640281064567,0.4974042829331603,1.1626598834991455,12.128808975219727
11,0.6931745368801705,0.5021552723059096,0.6934492650703514,0.4944841012329656,1.2382290363311768,13.367478132247925
12,0.6930638840273109,0.5076245654692931,0.6935000694239009,0.4944841012329656,1.2067599296569824,14.574239015579224
13,0.6931107493596171,0.5033140208574739,0.693224061742222,0.5012978585334199,1.2365140914916992,15.810760974884033
14,0.6931473662320046,0.5047045191193511,0.6933154614616879,0.4944841012329656,1.2007451057434082,17.011507272720337
15,0.6931989910290388,0.5015527230590962,0.6933021418929177,0.49870214146658015,1.2296130657196045,18.24112319946289
16,0.693094864797758,0.5017844727694091,0.6931857642688045,0.4980532121998702,1.2646732330322266,19.505799293518066
17,0.6930643157610887,0.5034994206257242,0.6933853141600864,0.49675535366645035,1.160733938217163,20.666534185409546
18,0.6930146090788195,0.5036384704519119,0.6934400770975195,0.4980532121998702,1.1640408039093018,21.83057713508606
19,0.6931471040074823,0.50558516801854,0.6932620481962046,0.4980532121998702,1.1504888534545898,22.981067180633545
20,0.6930513278026293,0.506882966396292,0.6932524696795063,0.49772874756651525,1.1571071147918701,24.138176202774048
21,0.692878898814545,0.5086906141367323,0.6933414723330082,0.49870214146658015,1.1769330501556396,25.315539121627808
22,0.6930516715204453,0.5048435689455388,0.6932861148189369,0.49772874756651525,1.1867201328277588,26.5022611618042
23,0.6928390658606245,0.5082734646581691,0.6933819449698283,0.4970798182998053,1.2424352169036865,27.74469828605652
24,0.6930935644689054,0.5051216685979143,0.6934083304105062,0.4964308890330954,1.1667401790618896,28.911442279815674
25,0.6929606215260397,0.506558516801854,0.6935600831011995,0.49870214146658015,1.2221179008483887,30.133567094802856
