epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time
1,0.6909830666611297,0.5237211221122112,0.6836165603185664,0.5606936416184971,0.30049896240234375,0.30050015449523926
2,0.6887231953073256,0.5292904290429042,0.6790612880894215,0.5838150289017341,0.2726569175720215,0.5732429027557373
3,0.6871335419884609,0.5416666666666666,0.6834052377353513,0.5895953757225434,0.27027392387390137,0.8435189723968506
4,0.6873938818969348,0.5402227722772277,0.6785491470656643,0.588150289017341,0.26996469497680664,1.1134848594665527
5,0.6877233289649384,0.545585808580858,0.6758021688185676,0.5794797687861272,0.2700679302215576,1.3835549354553223
6,0.6866623641240714,0.5439356435643564,0.6801992720262163,0.588150289017341,0.309567928314209,1.6931259632110596
7,0.6857500412676594,0.536509900990099,0.6725650095526193,0.5823699421965318,0.26894211769104004,1.962069034576416
8,0.6881874345316745,0.5474422442244224,0.6789133497056244,0.5722543352601156,0.26842784881591797,2.230498790740967
9,0.6867797565538891,0.5396039603960396,0.6774447467285774,0.5867052023121387,0.2676429748535156,2.4981441497802734
10,0.686706276026496,0.5466171617161716,0.6824994276713774,0.5794797687861272,0.2689492702484131,2.767094135284424
11,0.6866787256974198,0.54496699669967,0.6774854367178988,0.5924855491329479,0.2726128101348877,3.0398879051208496
12,0.6856767509636705,0.5431105610561056,0.6758971017909188,0.5809248554913294,0.26804494857788086,3.3079349994659424
13,0.6868640296530015,0.5416666666666666,0.6792005982702178,0.588150289017341,0.2686009407043457,3.5765390396118164
14,0.6840356102477599,0.5509488448844885,0.6782857755016041,0.5939306358381503,0.27185487747192383,3.848395824432373
15,0.6840858732906505,0.5439356435643564,0.6751852662577106,0.5765895953757225,0.26987314224243164,4.118269920349121
16,0.6858013384413011,0.5420792079207921,0.6815697616235369,0.5838150289017341,0.2668619155883789,4.385133981704712
17,0.6861339663908427,0.5470297029702971,0.6797370507537974,0.5997109826589595,0.26766204833984375,4.652796983718872
18,0.6847198070472617,0.5495049504950495,0.6757696784300611,0.5809248554913294,0.2679626941680908,4.920761823654175
19,0.6860673614461036,0.5478547854785478,0.6784511749455006,0.5939306358381503,0.27631592750549316,5.197080850601196
20,0.6841195324073137,0.5554867986798679,0.6764612866274883,0.5867052023121387,0.27060604095458984,5.467688083648682
21,0.6843432701460206,0.5474422442244224,0.6761924266126115,0.5838150289017341,0.27114129066467285,5.738908052444458
22,0.6833289824303227,0.5480610561056105,0.6762734000393421,0.5895953757225434,0.2668569087982178,6.005767107009888
