epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time
1,0.6865882786980556,0.5416666666666666,0.6791210980773661,0.5664739884393064,0.928009033203125,0.9280111789703369
2,0.6816452527203576,0.5676567656765676,0.6743855820914914,0.5765895953757225,1.0043132305145264,1.9324102401733398
3,0.679718290028399,0.5701320132013201,0.6750694403069557,0.5895953757225434,0.9375851154327393,2.869997262954712
4,0.6752514191980016,0.5858085808580858,0.6712057862667679,0.5924855491329479,1.0485050678253174,3.9185051918029785
5,0.6739703141423342,0.5889026402640264,0.6675042565158337,0.6083815028901735,0.9286370277404785,4.847151279449463
6,0.6733694121782535,0.5938531353135313,0.6723914673562684,0.588150289017341,0.918147087097168,5.765300273895264
7,0.674026352934318,0.5891089108910891,0.6727400136131771,0.5867052023121387,0.8788928985595703,6.644195079803467
8,0.6730809998590954,0.5946782178217822,0.6702796403383244,0.5867052023121387,0.9427809715270996,7.586978197097778
9,0.6717426949995186,0.5959158415841584,0.6675624458086973,0.6011560693641619,0.8619661331176758,8.448946237564087
10,0.6709403938586169,0.5994224422442245,0.6734088590379396,0.5838150289017341,0.85794997215271,9.306898355484009
11,0.6714483375596528,0.5930280528052805,0.670767823051166,0.5939306358381503,0.8602139949798584,10.167599201202393
12,0.6691091910447224,0.6031353135313532,0.670356199231451,0.6026011560693642,0.8698148727416992,11.037416219711304
13,0.668417747658078,0.6039603960396039,0.6714969074105941,0.5823699421965318,0.8815929889678955,11.919012069702148
14,0.6685095026154723,0.6049917491749175,0.6709928302406576,0.5924855491329479,0.8647658824920654,12.783781290054321
15,0.6683088741680183,0.6014851485148515,0.6693312494741009,0.6098265895953757,0.8532779216766357,13.637064218521118
16,0.6667312316768633,0.6039603960396039,0.6698346672030543,0.5852601156069365,0.8715677261352539,14.508633136749268
17,0.6658417853978601,0.6045792079207921,0.6706438509026015,0.5997109826589595,0.9210801124572754,15.429716348648071
18,0.6634602672589494,0.610973597359736,0.6699734454210093,0.5953757225433526,1.0649991035461426,16.494725227355957
19,0.664256495020964,0.6124174917491749,0.6703947692937244,0.6011560693641619,0.9488587379455566,17.443587064743042
20,0.6636677073566827,0.6122112211221122,0.6704186476723997,0.6040462427745664,0.8818988800048828,18.325491189956665
